replay_buffer/size,trainer/QF Loss,trainer/Y Predictions Mean,trainer/Y Predictions Std,trainer/Y Predictions Max,trainer/Y Predictions Min,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
2000,1.0107578,-0.0009518378,0.00060679734,-0.00048824877,-0.0036987157,2000,206,9.615384615384615,1.1120640226769969,13,8,1.0,0.0,1.0,1.0,9.615384615384615,1.1120640226769969,13.0,8.0,0.042,0.20058913230780973,1,0,104,9.615384615384615,5000,537,9.31098696461825,0.7156994168808307,11,8,1.0,0.0,1.0,1.0,9.31098696461825,0.7156994168808307,11.0,8.0,0.0,0.0,0,0,537,9.31098696461825,0.02353895199485123,2.1061332839890383,0.3968104689847678,0.05360113800270483,0.03476675198180601,3.9172312089940533,6.5320818039472215,16.524334004963748,0
3000,0.012400792,1.3766906,0.07113446,1.491732,1.2170017,3000,306,10.0,1.5362291495737217,17,6,1.0,0.0,1.0,1.0,10.0,1.5362291495737217,17.0,6.0,0.058,0.23374344910606584,1,0,100,10.0,9998,1071,9.359550561797754,0.7776926066992443,11,8,1.0,0.0,1.0,1.0,9.359550561797754,0.7776926066992443,11.0,8.0,0.0,0.0,0,0,534,9.359550561797754,0.018984110036399215,2.0428746169782244,0.45789448102004826,0.05516333499690518,0.016759087971877307,4.370791560038924,6.9624671910423785,23.500579463026952,1
4000,0.04282977,1.996339,0.24327143,2.4265218,1.3846818,4000,408,9.803921568627452,1.3433876967027953,15,5,1.0,0.0,1.0,1.0,9.803921568627452,1.3433876967027953,15.0,5.0,0.047,0.21163884331568247,1,0,102,9.803921568627452,14997,1605,9.361423220973784,0.7308674728236118,11,8,1.0,0.0,1.0,1.0,9.361423220973784,0.7308674728236118,11.0,8.0,0.0,0.0,0,0,534,9.361423220973784,0.010964957007672638,1.5351322679780424,0.27245244901860133,0.0490889850188978,0.013635644048918039,3.5509103490039706,5.432184652076103,28.945188847079407,2
5000,0.44946906,2.8983872,0.6714337,4.9446917,1.488398,5000,510,9.803921568627452,1.2988623656218976,14,8,1.0,0.0,1.0,1.0,9.803921568627452,1.2988623656218976,14.0,8.0,0.951,0.21586801523152985,1,0,102,9.803921568627452,19989,2142,9.296089385474861,0.7322343903686458,11,8,1.0,0.0,1.0,1.0,9.296089385474861,0.7322343903686458,11.0,8.0,1.0,0.0,1,1,537,9.296089385474861,0.019636345969047397,1.7539532400551252,0.5599303559865803,0.05248927901266143,0.0158079219982028,4.432500564027578,6.834317707049195,35.78836216003401,3
6000,0.3440183,3.4375734,0.6006575,4.4837832,1.776139,6000,521,90.9090909090909,9.346409572709002,110,77,1.0,0.0,1.0,1.0,90.9090909090909,9.346409572709002,110.0,77.0,0.536,0.4987023160162784,1,0,11,90.9090909090909,24970,2196,92.24074074074075,9.882523266755804,118,76,1.0,0.0,1.0,1.0,92.24074074074075,9.882523266755804,118.0,76.0,0.5422605902429231,0.4982108414239093,1,0,54,92.24074074074075,0.01858761004405096,2.133345695969183,0.3601324860355817,0.042655327008105814,0.014662401983514428,4.066394969006069,6.635778490046505,42.43547882809071,4
7000,0.47870508,4.262397,0.7420968,5.545588,1.977723,7000,533,83.33333333333333,10.895972752454101,105,68,1.0,0.0,1.0,1.0,83.33333333333333,10.895972752454101,105.0,68.0,0.541,0.498316164698678,1,0,12,83.33333333333333,29933,2254,85.56896551724138,9.759366975241356,122,67,1.0,0.0,1.0,1.0,85.56896551724138,9.759366975241356,122.0,67.0,0.542615353616764,0.49818062149798453,1,0,58,85.56896551724138,0.01904604199808091,1.9377843309775926,0.3618241040385328,0.03731879097176716,0.015205573989078403,4.079722186957952,6.4509010289330035,48.89624400512548,5
8000,0.54909474,4.9312587,1.1040062,6.8485947,1.9823203,8000,544,90.9090909090909,32.486233575174985,143,3,1.0,0.0,1.0,1.0,90.9090909090909,32.486233575174985,143.0,3.0,0.526,0.49932354240512244,1,0,11,90.9090909090909,34845,2299,109.15555555555555,29.327996147447433,191,73,1.0,0.0,1.0,1.0,109.15555555555555,29.327996147447433,191.0,73.0,0.5260586319218241,0.4993204859630365,1,0,45,109.15555555555555,0.018765478977002203,1.9753996159997769,0.3604189179604873,0.03973374899942428,0.015248539042659104,4.102884557971265,6.512450858950615,55.41665540204849,6
9000,0.31074342,5.870062,1.292573,8.872294,1.845981,9000,555,90.9090909090909,35.66371862896915,149,23,1.0,0.0,1.0,1.0,90.9090909090909,35.66371862896915,149.0,23.0,0.513,0.49983097142934235,1,0,11,90.9090909090909,39809,2338,127.28205128205128,27.233980205682826,197,88,1.0,0.0,1.0,1.0,127.28205128205128,27.233980205682826,197.0,88.0,0.5147058823529411,0.4997836902343067,1,0,39,127.28205128205128,0.01806177297839895,2.1197893419885077,0.3658518809825182,0.07405272900359705,0.06447228800971061,6.048773651011288,8.69100166397402,64.11872241506353,7
