replay_buffer/size,trainer/QF Loss,trainer/Y Predictions Mean,trainer/Y Predictions Std,trainer/Y Predictions Max,trainer/Y Predictions Min,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
2000,1.0029988,0.0011394597,0.00036639583,0.0017280743,-0.00036303478,2000,202,10.0,1.407124727947029,15,7,1.0,0.0,1.0,1.0,10.0,1.407124727947029,15.0,7.0,0.051,0.21999772726098782,1,0,100,10.0,4999,535,9.34392523364486,0.7596331591406913,11,8,1.0,0.0,1.0,1.0,9.34392523364486,0.7596331591406913,11.0,8.0,0.0,0.0,0,0,535,9.34392523364486,0.017905244952999055,3.094945850025397,0.3946656530024484,0.07086681301007047,0.030307654989883304,4.2236774190096185,7.8323686349904165,15.421273480984382,0
3000,0.011135829,1.3821546,0.05539069,1.4745362,1.2397777,3000,304,9.803921568627452,1.645190350070826,16,3,1.0,0.0,1.0,1.0,9.803921568627452,1.645190350070826,16.0,3.0,0.053,0.22403347964087864,1,0,102,9.803921568627452,9999,1069,9.363295880149813,0.7156890805513803,11,8,1.0,0.0,1.0,1.0,9.363295880149813,0.7156890805513803,11.0,8.0,0.0,0.0,0,0,534,9.363295880149813,0.019621018029283732,2.0171190759865567,0.3624910330399871,0.06880325602833182,0.017303708009421825,4.0641900429618545,6.549528134055436,21.994531742006075,1
4000,0.04222254,2.0315447,0.21493955,2.3987834,1.4831303,4000,406,9.803921568627452,1.3935370126456008,17,5,1.0,0.0,1.0,1.0,9.803921568627452,1.3935370126456008,17.0,5.0,0.044,0.20509509989270833,1,0,102,9.803921568627452,14993,1603,9.352059925093632,0.7616913149894328,11,8,1.0,0.0,1.0,1.0,9.352059925093632,0.7616913149894328,11.0,8.0,0.0,0.0,0,0,534,9.352059925093632,0.0191779809538275,2.1092002759687603,0.4120058370172046,0.059013090969529,0.01440451800590381,3.6575575960450806,6.271359298960306,28.276477490959223,2
5000,0.3443537,2.7996206,0.62915856,4.8256435,1.4938991,5000,507,9.900990099009901,1.465814749922407,17,8,1.0,0.0,1.0,1.0,9.900990099009901,1.465814749922407,17.0,8.0,0.945,0.22798026230356,1,0,101,9.900990099009901,19984,2136,9.363977485928705,0.7789302903608958,11,8,1.0,0.0,1.0,1.0,9.363977485928705,0.7789302903608958,11.0,8.0,1.0,0.0,1,1,533,9.363977485928705,0.02056090801488608,1.56045357597759,0.44415850401856005,0.06704893201822415,0.015558290993794799,4.186512777989265,6.29429298901232,34.580850236001424,3
6000,0.26713237,3.5075529,0.6003901,4.4775105,1.8371413,6000,520,76.92307692307692,10.84478987604745,97,53,1.0,0.0,1.0,1.0,76.92307692307692,10.84478987604745,97.0,53.0,0.516,0.499743934430424,1,0,13,76.92307692307692,24914,2190,91.29629629629629,23.83479376227087,178,62,1.0,0.0,1.0,1.0,91.29629629629629,23.83479376227087,178.0,62.0,0.5152129817444219,0.49976851159956437,1,0,54,91.29629629629629,0.019740775984246284,2.1106096750008874,0.3686536229797639,0.04749560297932476,0.01743864599848166,4.413597435981501,6.977535758924205,41.56873610895127,4
7000,0.28188738,4.2195115,0.8275062,6.328028,2.1353161,7000,547,37.03703703703704,8.595784847631798,50,12,1.0,0.0,1.0,1.0,37.03703703703704,8.595784847631798,50.0,12.0,0.546,0.4978795034945705,1,0,27,37.03703703703704,29902,2312,40.885245901639344,6.484782592146112,62,26,1.0,0.0,1.0,1.0,40.885245901639344,6.484782592146112,62.0,26.0,0.5437048917401764,0.4980862198836457,1,0,122,40.885245901639344,0.018522663973271847,2.0662386810290627,0.3828431399888359,0.06585343298502266,0.033982758002821356,4.44166430196492,7.0091049779439345,48.58886809280375,5
8000,0.33817428,4.971487,1.0266024,6.7068977,1.929036,8000,562,66.66666666666667,18.82787531531078,109,41,1.0,0.0,1.0,1.0,66.66666666666667,18.82787531531078,109.0,41.0,0.525,0.4993746088859544,1,0,15,66.66666666666667,34881,2387,66.38666666666667,18.019170038847207,155,46,1.0,0.0,1.0,1.0,66.38666666666667,18.019170038847207,155.0,46.0,0.5330387628037758,0.49890724604118136,1,0,75,66.38666666666667,0.02120272204047069,3.1187809910043143,0.39399425697047263,0.06432641000719741,0.03357558301649988,4.996831208001822,8.628711171040777,57.22960668883752,6
9000,0.35495093,6.002344,1.3625337,8.957531,2.0022824,9000,577,66.66666666666667,22.84050982112459,115,35,1.0,0.0,1.0,1.0,66.66666666666667,22.84050982112459,115.0,35.0,0.484,0.499743934430424,1,0,15,66.66666666666667,39817,2457,70.51428571428572,25.997111299495703,139,32,1.0,0.0,1.0,1.0,70.51428571428572,25.997111299495703,139.0,32.0,0.48419773095623986,0.49975022590597057,1,0,70,70.51428571428572,0.018882275035139173,2.6144219909911044,0.46413062600186095,0.04982388095231727,0.016095125989522785,4.944578024966177,8.107931923936121,65.35804556886433,7
10000,0.84594727,6.460387,1.7901431,10.15272,1.9518218,10000,591,71.42857142857143,20.586799812758954,130,47,1.0,0.0,1.0,1.0,71.42857142857143,20.586799812758954,130.0,47.0,0.494,0.4999639987039066,1,0,14,71.42857142857143,44775,2520,78.6984126984127,26.42007108640384,153,43,1.0,0.0,1.0,1.0,78.6984126984127,26.42007108640384,153.0,43.0,0.4937474788221057,0.49996090445045804,1,0,63,78.6984126984127,0.02116080396808684,2.8020784839754924,0.6373464140342548,0.043446244031656533,0.014343691989779472,5.114166050974745,8.632541688974015,74.00361412978964,8
11000,0.70419425,7.452635,1.9465197,10.712122,2.0775378,11000,602,90.9090909090909,28.87104414604094,149,34,1.0,0.0,1.0,1.0,90.9090909090909,28.87104414604094,149.0,34.0,0.508,0.49993599590347565,1,0,11,90.9090909090909,49759,2570,99.68,33.59549969862035,197,53,1.0,0.0,1.0,1.0,99.68,33.59549969862035,197.0,53.0,0.5040128410914928,0.49998389684706296,1,0,50,99.68,0.018248377018608153,1.969671478960663,0.3565363120287657,0.04215028800535947,0.014473484014160931,4.425766795990057,6.826846736017615,80.83995767682791,9
