replay_buffer/size,trainer/QF Loss,trainer/Y Predictions Mean,trainer/Y Predictions Std,trainer/Y Predictions Max,trainer/Y Predictions Min,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
2000,1.0005984,0.0009775138,0.0012281588,0.0016429477,-0.0043536765,2000,202,9.900990099009901,1.254733220787397,14,8,1.0,0.0,1.0,1.0,9.900990099009901,1.254733220787397,14.0,8.0,0.054,0.22601769842204836,1,0,101,9.900990099009901,4997,533,9.375234521575985,0.7438971156908822,11,8,1.0,0.0,1.0,1.0,9.375234521575985,0.7438971156908822,11.0,8.0,0.0,0.0,0,0,533,9.375234521575985,0.021091210015583783,2.5061298030195758,0.4015823189984076,352.5970011019963,0.03788125602295622,5.761016583011951,361.32470227306476,369.2409557530773,0
3000,0.015663864,1.4024203,0.055771917,1.502189,1.2540472,3000,302,10.0,1.6492422502470643,16,5,1.0,0.0,1.0,1.0,10.0,1.6492422502470643,16.0,5.0,0.055,0.22798026230355997,1,0,100,10.0,9992,1068,9.336448598130842,0.7629740779472985,11,8,1.0,0.0,1.0,1.0,9.336448598130842,0.7629740779472985,11.0,8.0,0.0,0.0,0,0,535,9.336448598130842,0.01948640198679641,1.8345753920148127,0.5633578230044805,10.248307003988884,0.01476364501286298,3.6976953629637137,16.37818562897155,385.64071464102017,1
4000,0.057672277,2.0126784,0.24690787,2.3671045,1.4121708,4000,403,9.900990099009901,1.5123580073766356,15,2,1.0,0.0,1.0,1.0,9.900990099009901,1.5123580073766356,15.0,2.0,0.059,0.23562470159132295,1,0,101,9.900990099009901,14988,1603,9.338317757009346,0.7127208442540609,11,8,1.0,0.0,1.0,1.0,9.338317757009346,0.7127208442540609,11.0,8.0,0.0,0.0,0,0,535,9.338317757009346,0.020635930995922536,2.0566603539627977,0.38156828394858167,13.260518960014451,0.016947027994319797,5.470042522996664,21.206373079912737,406.85661471507046,2
5000,0.3617039,2.748032,0.66999793,4.8632355,1.4084408,5000,508,9.523809523809524,1.0150790548170838,12,8,1.0,0.0,1.0,1.0,9.523809523809524,1.0150790548170838,12.0,8.0,0.841,0.3656760861746363,1,0,105,9.523809523809524,19982,2144,9.231053604436228,0.7472912259783073,11,8,1.0,0.0,1.0,1.0,9.231053604436228,0.7472912259783073,11.0,8.0,0.9437324789747698,0.23043759915192996,1,0,541,9.231053604436228,0.019133074034471065,2.2353717259829864,0.3673551779938862,19.369023795006797,0.015826830989681184,3.8328706820029765,25.839581286010798,432.7120614160667,3
6000,0.32349136,3.2904174,0.6633345,4.4976196,1.6853775,6000,525,58.8235294117647,14.37004766506339,77,9,1.0,0.0,1.0,1.0,58.8235294117647,14.37004766506339,77.0,9.0,0.542,0.4982328772772828,1,0,17,58.8235294117647,24967,2225,61.54320987654321,7.601249706732439,84,47,1.0,0.0,1.0,1.0,61.54320987654321,7.601249706732439,84.0,47.0,0.5438314944834504,0.49807509483143936,1,0,81,61.54320987654321,0.019760322000365704,1.9699203339987434,0.39471768302610144,109.37645882496145,0.016302420001011342,5.381393336982001,117.15855292096967,549.8765711620217,4
7000,0.3794348,4.038652,0.9077712,5.5554266,1.572614,7000,538,76.92307692307692,24.030306308946106,105,5,1.0,0.0,1.0,1.0,76.92307692307692,24.030306308946106,105.0,5.0,0.536,0.4987023160162784,1,0,13,76.92307692307692,29889,2288,78.12698412698413,10.158258917641511,106,60,1.0,0.0,1.0,1.0,78.12698412698413,10.158258917641511,106.0,60.0,0.5428687525396181,0.49815888033407274,1,0,63,78.12698412698413,0.018754567950963974,2.1534140720032156,0.37913974100956693,116.63803824898787,0.014802576042711735,3.9394105859682895,123.14355979196262,673.029471244954,5
