replay_buffer/size,trainer/QF Loss,trainer/Y Predictions Mean,trainer/Y Predictions Std,trainer/Y Predictions Max,trainer/Y Predictions Min,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
2000,1.0051203,-0.0020321566,0.00061116565,-0.0013755576,-0.004652578,2000,201,10.204081632653061,1.7199856648279548,17,8,1.0,0.0,1.0,1.0,10.204081632653061,1.7199856648279548,17.0,8.0,0.932,0.251745903640953,1,0,98,10.204081632653061,4998,533,9.377110694183864,0.8000946830332596,11,8,1.0,0.0,1.0,1.0,9.377110694183864,0.8000946830332596,11.0,8.0,1.0,0.0,1,1,533,9.377110694183864,0.01932510401820764,2.1008131319540553,0.37040120200254023,0.051688300038222224,0.03157642902806401,4.389215520001017,6.963019687042106,16.928257878054865,0
3000,0.010881343,1.405706,0.05841184,1.5128063,1.2477776,3000,305,9.615384615384615,1.310517310569294,14,3,1.0,0.0,1.0,1.0,9.615384615384615,1.310517310569294,14.0,3.0,0.945,0.22798026230356,1,0,104,9.615384615384615,9996,1066,9.377110694183864,0.7442093535125823,11,8,1.0,0.0,1.0,1.0,9.377110694183864,0.7442093535125823,11.0,8.0,1.0,0.0,1,1,533,9.377110694183864,0.02187469502678141,2.130345885991119,0.3951354849850759,0.050087794952560216,0.015445463010109961,3.7668119330191985,6.379701256984845,23.320287785027176,1
4000,0.15313858,2.1160388,0.35923702,3.429978,1.4173033,4000,408,9.70873786407767,1.1957129567643225,12,5,1.0,0.0,1.0,1.0,9.70873786407767,1.1957129567643225,12.0,5.0,0.052,0.2220270253820467,1,0,103,9.70873786407767,14992,1603,9.303538175046555,0.7468409913895733,11,8,1.0,0.0,1.0,1.0,9.303538175046555,0.7468409913895733,11.0,8.0,0.0,0.0,0,0,537,9.303538175046555,0.021229281031992286,1.2497761069680564,0.2517310259863734,0.060929600964300334,0.014764945022761822,4.02911123202648,5.627542191999964,28.95778577605961,2
5000,0.18570764,2.7806075,0.34039333,3.3066251,1.7256925,5000,418,100.0,27.618834153526464,157,61,1.0,0.0,1.0,1.0,100.0,27.618834153526464,157.0,61.0,0.48,0.49959983987187184,1,0,10,100.0,19971,1655,95.75,27.6759233047288,190,57,1.0,0.0,1.0,1.0,95.75,27.6759233047288,190.0,57.0,0.47720425788310905,0.4994800838285149,1,0,52,95.75,0.022961464012041688,1.951492910971865,0.5618056699750014,0.04667164903366938,0.014947708987165242,6.517488397017587,9.11536779999733,38.083676272130106,3
6000,0.31213382,3.6235237,0.5972619,4.9812913,1.9735618,6000,477,16.949152542372882,10.989091245433338,49,9,1.0,0.0,1.0,1.0,16.949152542372882,10.989091245433338,49.0,9.0,0.578,0.4938785275753543,1,0,59,16.949152542372882,24947,1968,15.89776357827476,10.345582693130371,44,9,1.0,0.0,1.0,1.0,15.89776357827476,10.345582693130371,44.0,9.0,0.5992765273311897,0.49004507049970375,1,0,313,15.89776357827476,0.019492283987347037,2.20470005099196,0.4064350560074672,0.06636525795329362,0.015820680011529475,4.296182142978068,7.008995471929666,45.10962277906947,4
7000,0.37146744,4.319793,0.80544305,7.143791,1.9338001,7000,496,52.63157894736842,19.31241903765224,89,11,1.0,0.0,1.0,1.0,52.63157894736842,19.31241903765224,89.0,11.0,0.506,0.4999639987039066,1,0,19,52.63157894736842,29936,2045,64.79220779220779,15.631584461851308,108,31,1.0,0.0,1.0,1.0,64.79220779220779,15.631584461851308,108.0,31.0,0.4838645019041892,0.4997395778815203,1,0,77,64.79220779220779,0.018439753039274365,1.9801419979776256,0.40457714296644554,0.08428752102190629,0.021605733025353402,4.042906457965728,6.551958605996333,51.68412003398407,5
